intensity	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.0009	1714.7	2423.9	4019.4	5027.1	--undefined--
0.0009	1596.1	2432.5	3890.8	4900.4	--undefined--
0.0003	1504.5	2413.1	4296.0	5026.6	--undefined--
0.0002	1602.5	2735.5	4100.2	4911.2	--undefined--
0.0003	254.6	2232.0	4223.5	5013.6	--undefined--
0.0002	1951.3	4270.6	4368.8	5115.2	--undefined--
0.0002	1174.6	2834.6	3969.0	4939.9	--undefined--
0.00005	1207.7	2795.6	4556.8	5177.0	--undefined--
0.0000009	1228.6	2402.4	3849.1	5001.2	--undefined--
0.0000007	1317.1	2432.2	4264.5	--undefined--	--undefined--
0.0000004	845.5	2007.5	3647.3	--undefined--	--undefined--
0.0000002	1201.8	2287.8	2953.5	--undefined--	--undefined--
0.0000002	1015.2	2045.1	2913.4	--undefined--	--undefined--
0.0000002	1303.6	2502.6	3097.2	--undefined--	--undefined--
0.0000002	1214.0	2117.1	2871.5	5079.3	--undefined--
0.0000002	1188.7	2082.3	3148.6	--undefined--	--undefined--
0.0000002	1176.8	2065.7	2884.5	--undefined--	--undefined--
0.0000002	1199.8	2282.5	3244.1	--undefined--	--undefined--
0.0000002	1136.2	2297.5	3021.7	--undefined--	--undefined--
0.0000002	1284.6	2024.5	3082.5	--undefined--	--undefined--
0.0000002	1186.3	2209.5	3056.7	--undefined--	--undefined--
0.0000001	1030.5	2261.7	3067.4	--undefined--	--undefined--
0.0000001	1446.7	2806.3	2888.4	--undefined--	--undefined--
0.0000001	1310.4	2193.5	2944.5	--undefined--	--undefined--
0.0000001	1207.0	2036.1	3201.8	--undefined--	--undefined--
0.0000001	996.7	1930.7	3232.2	--undefined--	--undefined--
0.0000001	1061.2	2332.0	3006.6	--undefined--	--undefined--
0.0000001	1323.5	2095.2	3125.0	--undefined--	--undefined--
0.0000001	1092.9	2298.0	3053.3	--undefined--	--undefined--
0.0000001	1316.6	2376.9	3098.4	--undefined--	--undefined--
0.0000001	1118.1	2302.6	3187.6	--undefined--	--undefined--
0.0000001	1191.1	2200.7	3288.5	--undefined--	--undefined--
0.0000001	1266.4	2067.1	2964.1	--undefined--	--undefined--
0.0000001	1172.5	2107.7	3076.6	--undefined--	--undefined--
0.0000001	889.1	1940.2	2894.8	4772.5	--undefined--
0.0000001	1138.9	1948.8	3105.8	--undefined--	--undefined--
0.0000001	883.1	2064.7	2906.9	4661.2	--undefined--
0.00000010	1125.6	2184.9	2670.9	4805.7	--undefined--
0.00000010	1128.8	2167.9	3204.8	--undefined--	--undefined--
0.00000010	1195.8	2124.8	3256.8	--undefined--	--undefined--
0.00000009	1221.6	2154.8	3045.4	5267.3	--undefined--
0.0000002	1512.9	2552.1	3333.1	--undefined--	--undefined--
0.0000006	753.7	1892.9	2861.4	3630.0	--undefined--
0.000003	467.1	1856.2	2892.3	3618.3	--undefined--
0.000007	1243.0	2103.6	2906.6	3931.9	--undefined--
0.0007	277.6	2016.4	2674.1	3936.1	--undefined--
0.021	332.7	1948.9	2642.1	3287.8	4129.3
0.063	398.2	1922.3	2416.5	3205.3	4108.6
0.080	444.7	1649.9	2297.5	3436.9	4116.6
0.068	626.2	1444.4	2274.9	3469.1	3918.1
0.081	666.1	1339.9	2394.4	3544.2	4125.7
0.065	638.1	1046.8	2363.2	3443.7	4520.5
0.016	682.0	1641.8	2145.6	3470.5	--undefined--
0.002	660.9	1327.5	2304.4	3599.8	--undefined--
0.0005	578.5	1358.7	2395.4	3525.5	--undefined--
0.0001	698.0	1460.4	2274.1	3608.1	--undefined--
0.0006	752.3	1348.8	2704.5	3507.7	5325.7
0.002	1024.8	1507.4	2648.8	3655.3	4734.6
0.017	902.1	2361.0	3551.2	4948.5	--undefined--
0.230	597.2	1045.3	2343.2	3532.7	4590.4
0.267	922.4	1134.1	2306.3	3579.2	--undefined--
0.217	807.9	1269.6	2233.4	3481.9	3519.3
0.255	712.9	1352.8	2119.0	3157.5	4534.0
0.258	648.9	1432.2	1969.2	2944.6	--undefined--
0.204	595.3	1500.1	1725.3	2794.9	--undefined--
0.119	746.3	1180.2	1585.0	2751.7	5097.2
0.066	698.6	1443.0	2009.2	2791.2	4534.8
0.206	624.9	1363.6	2098.0	2796.8	4705.0
0.206	633.9	1199.5	2697.3	2929.7	4693.3
0.080	967.6	991.1	2762.0	3346.6	--undefined--
0.031	941.5	1663.6	2733.6	3788.8	--undefined--
0.005	848.6	1428.2	2755.8	3768.2	--undefined--
0.004	910.1	1584.4	2641.8	3782.7	--undefined--
0.003	1098.4	2671.8	3806.3	--undefined--	--undefined--
0.019	184.2	1033.1	2538.6	3747.5	3937.8
0.081	691.1	918.2	2684.8	3248.4	3862.8
0.117	785.7	1026.1	2783.8	3351.0	3693.5
0.117	835.3	1177.4	2840.3	3247.6	3658.4
0.143	864.8	1346.6	2710.8	3643.1	3705.3
0.143	848.9	1498.4	2596.1	3556.1	4465.9
0.092	749.8	1768.3	2592.1	3136.4	4099.2
0.065	683.3	1759.3	2625.2	3786.2	4015.9
0.036	699.0	1418.4	2747.8	4264.6	--undefined--
0.018	602.5	1641.4	2584.7	2895.2	4143.4
0.026	572.2	1207.4	2743.3	3542.9	4106.5
0.043	567.3	1202.4	2749.7	3537.3	4015.3
0.106	808.7	1279.1	2784.8	3952.6	--undefined--
0.106	864.5	1291.8	2827.7	3932.3	5333.1
0.075	873.8	1312.3	2596.3	3986.9	4791.1
0.063	937.9	1248.7	2529.9	3782.9	4908.3
0.071	968.4	1252.4	2980.3	3698.6	--undefined--
0.071	1178.4	1208.4	2977.3	3893.9	--undefined--
0.037	1088.1	1337.7	2721.5	3401.4	4824.2
0.045	1022.1	1462.6	2697.3	3512.4	4709.6
0.045	1010.0	1645.8	3006.5	3871.5	--undefined--
0.028	1006.4	1631.0	2965.1	2969.7	4480.9
0.041	809.6	1972.4	3373.7	3374.5	4688.8
0.041	732.7	1936.2	2696.6	3496.1	4998.1
0.024	539.2	1887.2	2524.0	3835.7	4814.8
0.007	483.8	2328.6	2973.6	4219.7	--undefined--
0.001	424.9	2072.3	2993.3	4478.5	--undefined--
0.0003	846.8	2310.6	3292.8	4893.0	--undefined--
0.00003	530.8	1151.8	3308.2	3882.4	5409.6
0.0002	501.6	1197.7	3504.0	4358.2	5000.5
0.0008	700.4	2797.9	3856.3	4615.3	--undefined--
0.0008	263.7	2695.4	3764.9	4218.5	4926.2
0.0007	307.7	1974.1	3838.1	4727.9	4797.5
0.002	343.4	1996.5	3568.7	4456.5	--undefined--
0.006	391.5	1998.6	3589.1	3876.0	--undefined--
0.009	401.4	1783.4	2285.1	3592.6	4461.1
0.013	414.1	1561.6	2352.3	3712.8	4364.1
0.013	458.0	1430.3	2426.4	3830.9	4201.7
0.032	638.3	1399.0	2310.5	3826.7	4139.3
0.032	858.9	1290.6	2208.8	3728.3	3850.5
0.024	797.5	1285.2	2421.7	3957.0	4378.9
0.049	749.9	1312.9	2436.6	3769.8	4038.7
0.043	764.9	1342.5	2368.7	3856.8	4222.4
0.019	740.4	1488.0	2492.5	3780.9	--undefined--
0.008	893.6	1631.2	2505.7	3906.5	--undefined--
0.010	747.5	1855.9	2666.2	3530.0	4534.9
0.010	694.5	1926.4	2693.2	3622.0	4445.5
0.018	586.5	2017.6	2770.9	4065.1	--undefined--
0.054	651.2	2070.0	2739.0	3560.6	4429.2
0.054	589.2	2072.6	2878.6	3100.3	4303.2
0.051	555.3	2009.5	2868.7	4287.8	--undefined--
0.103	540.8	1943.6	2819.4	3587.6	4518.8
0.046	574.5	1695.6	2758.5	3649.3	4321.9
0.097	627.7	1759.9	2492.6	3850.9	--undefined--
0.097	612.5	1628.3	2488.1	3618.0	4467.8
0.004	616.4	1335.3	2448.3	3659.2	5092.9
0.002	688.3	1491.7	2584.0	3589.5	4834.5
0.001	950.7	2268.6	3943.4	--undefined--	--undefined--
0.001	1060.6	2075.5	3473.7	3947.8	--undefined--
0.007	1274.6	1880.8	2808.2	3981.1	--undefined--
0.015	414.0	1851.4	2180.0	2721.3	5019.3
0.016	520.6	1964.4	2278.5	2760.5	4544.5
0.016	614.6	2108.6	2681.9	4550.7	--undefined--
0.012	537.2	2126.8	2794.9	2795.3	4683.2
0.012	480.9	1998.9	2762.1	3136.0	4609.3
0.004	361.3	1921.5	2750.4	4123.5	--undefined--
0.0002	232.9	2088.2	2744.6	4216.0	--undefined--
0.00006	396.8	2089.5	2712.2	4378.3	--undefined--
0.00002	428.2	1993.2	2802.9	4261.9	--undefined--
0.00002	530.9	2127.3	2836.3	4052.1	--undefined--
0.00002	582.6	2055.1	2830.0	3876.8	4726.9
0.0002	499.7	1980.0	2933.2	4308.7	4874.6
0.002	410.8	1981.8	2998.5	4194.9	--undefined--
0.015	417.6	2022.9	2695.0	4018.4	4642.7
0.041	394.8	2076.1	2723.1	3925.7	4281.6
0.041	401.3	2082.1	2699.4	3936.9	4303.9
0.053	449.1	2113.7	2658.1	3864.1	4319.8
0.053	440.7	2151.0	2664.2	3872.9	4252.7
0.055	420.8	2180.5	2682.0	3851.4	4249.7
0.050	445.9	2191.9	2662.8	3870.5	4225.0
0.066	402.3	2253.7	2673.1	3852.3	4303.9
0.054	376.3	2227.7	2685.6	3779.1	4348.4
0.017	366.2	2235.5	2656.5	3753.1	4357.7
0.002	390.8	2351.9	3567.8	3866.9	--undefined--
0.0006	508.4	2313.2	3225.4	3822.4	--undefined--
0.000002	1046.5	2252.2	3228.2	3810.5	--undefined--
0.000002	1107.5	1998.8	2716.4	3875.6	--undefined--
0.000002	365.4	1397.0	2646.2	3696.8	--undefined--
0.000004	958.1	2489.1	2839.4	3795.7	--undefined--
0.00002	663.7	1726.3	2635.2	3722.9	--undefined--
0.0002	857.8	1342.1	2587.6	3810.1	--undefined--
0.0007	897.3	1294.4	2566.3	3779.7	--undefined--
0.0007	774.7	1399.3	2591.4	3809.9	4859.5
0.004	804.3	1173.3	2526.0	3605.6	--undefined--
0.048	704.9	1535.7	2376.1	3558.4	4469.4
0.048	500.8	1564.2	2330.1	3446.0	4469.3
0.001	1524.9	2311.4	3525.9	4444.4	--undefined--
0.0001	561.2	1875.0	2272.0	3994.3	4896.2
0.00005	561.7	1471.3	3098.8	3594.6	--undefined--
0.021	1142.7	1438.7	2969.8	4022.8	4343.7
0.021	833.7	1395.4	3348.0	4238.2	--undefined--
0.003	352.3	1139.7	2754.5	3998.5	4421.4
0.016	585.6	1184.0	2535.0	3701.2	4204.6
0.019	574.2	1243.0	2664.4	3863.5	4301.7
0.006	471.4	1325.7	2748.7	3944.6	--undefined--
0.0003	351.1	1297.2	2690.1	3902.3	--undefined--
0.0003	327.2	1341.7	2745.8	4023.3	--undefined--
0.002	307.1	1428.9	2732.6	3666.6	4663.6
0.061	336.5	1418.0	2736.6	3311.7	4715.4
0.262	783.9	1621.1	2837.7	3698.5	--undefined--
0.311	935.5	1544.7	2402.3	3142.7	3714.3
0.313	971.0	1520.9	2573.9	3692.4	3890.3
0.286	970.6	1568.5	2545.6	3727.5	--undefined--
0.164	823.7	1599.0	2533.8	3853.5	4432.8
0.062	739.8	1521.7	2552.7	3676.2	4043.4
0.037	514.8	1579.1	2551.1	2996.5	4513.4
0.017	508.2	1585.8	2493.2	2743.6	4623.3
0.001	406.3	1574.5	2621.0	4239.4	--undefined--
0.0004	502.1	1622.2	2635.2	4588.9	--undefined--
0.026	453.7	1347.7	2519.6	4376.6	5114.0
0.050	490.9	1199.8	2611.4	3633.2	4446.1
0.054	516.1	1036.3	2754.7	3537.9	4600.0
0.054	558.7	865.3	2898.3	3486.7	5120.2
0.020	465.1	856.9	2817.3	3456.7	5035.5
0.025	478.6	904.7	2823.7	3429.3	--undefined--
0.079	704.3	814.9	2937.1	3408.3	--undefined--
0.161	668.9	935.5	2861.3	3451.2	4974.5
0.161	714.1	959.0	2728.4	3537.6	--undefined--
0.106	757.3	988.3	2857.8	3464.1	5080.1
0.118	768.6	1016.3	2766.1	3526.0	--undefined--
0.120	783.8	1035.5	2692.2	3571.9	--undefined--
0.106	692.2	1049.6	2657.1	3374.1	3701.2
0.070	568.6	1039.2	2751.4	3687.3	3755.9
0.007	994.3	1286.2	2765.9	3737.6	--undefined--
0.003	913.7	1058.7	2773.3	3730.1	--undefined--
0.007	455.3	1097.9	2542.3	3481.4	4411.3
0.010	488.4	969.5	2679.2	3394.5	4347.0
0.010	449.1	872.9	2665.7	3408.0	4360.3
0.018	484.2	881.9	2669.4	3432.2	4231.9
0.019	485.1	903.6	2669.8	3353.3	4285.0
0.032	452.3	1056.7	2563.9	3365.7	4231.8
0.032	437.6	1253.1	2518.7	3318.7	4276.7
0.018	392.2	1515.1	2487.4	3388.7	4369.1
0.016	375.5	1410.1	2444.2	3373.8	4573.3
0.0005	379.0	1435.5	2426.5	3368.5	4881.3
0.0004	1412.0	2342.7	3624.9	--undefined--	--undefined--
0.002	1341.4	2458.3	3658.6	5197.1	--undefined--
0.072	526.1	1475.6	2456.4	3517.9	4042.5
0.238	651.6	1445.1	2487.3	3509.1	3725.2
0.265	837.5	1432.3	2681.7	3603.1	4544.1
0.187	859.9	1356.5	2670.5	3584.8	3977.7
0.157	881.7	1344.8	2653.8	3592.7	3747.5
0.157	901.9	1357.0	2792.0	3720.3	3753.8
0.128	947.8	1412.6	2743.0	3435.9	3739.8
0.114	912.9	1418.5	2644.9	3623.5	--undefined--
0.069	782.9	1348.7	2697.7	3546.4	--undefined--
0.065	731.6	1365.2	2672.2	3642.1	--undefined--
0.047	572.9	1622.5	2521.5	3278.0	4710.0
0.009	714.2	1478.9	2955.6	3626.5	4968.7
0.001	788.9	1284.2	3253.5	3792.1	5070.8
0.005	1084.3	2227.7	3072.2	3825.9	5016.6
0.010	1187.7	2631.2	3364.5	4270.4	5061.3
0.010	991.2	2319.1	3175.6	3939.3	5115.5
0.009	2092.1	2719.5	3888.2	4610.9	--undefined--
0.003	1793.7	2597.1	3548.7	4678.7	--undefined--
0.004	430.4	1778.7	2494.7	3599.4	4661.3
0.007	385.3	1743.0	2496.8	3557.8	4702.3
0.005	374.7	1363.3	2592.1	3505.4	4486.7
0.005	381.1	1135.6	2592.4	3503.4	4475.7
0.001	354.9	1107.6	2648.5	3517.5	4662.2
0.0007	328.1	1170.9	2585.0	3534.5	4543.8
0.0008	281.5	1188.0	2593.5	3543.7	4859.4
0.010	1094.0	2545.4	3473.1	4833.0	--undefined--
0.023	376.4	1829.0	2541.9	3421.1	4437.3
0.023	342.4	2025.9	2593.5	3428.6	4345.3
0.019	315.1	2105.8	2738.6	3404.6	4361.6
0.017	307.1	2158.9	2749.5	3425.4	4323.1
0.007	318.7	2078.6	2860.2	3446.6	4510.0
0.003	315.0	2657.5	2659.5	3431.4	4410.1
0.003	313.1	2600.9	3582.8	4660.5	--undefined--
0.004	385.7	2620.3	3896.8	4445.8	--undefined--
0.003	523.5	2603.6	3574.8	4535.1	--undefined--
0.004	562.0	2689.1	4041.3	5172.6	--undefined--
0.005	637.5	2931.1	3582.4	4190.3	5195.9
0.005	546.1	1793.0	3356.1	4196.7	4981.0
0.007	452.4	1461.2	2743.1	3494.1	5028.8
0.040	563.4	1445.1	2691.5	3465.7	5078.9
0.059	732.6	1441.3	2360.9	3416.6	5102.3
0.077	753.3	1357.1	2495.7	3497.0	--undefined--
0.054	674.6	1334.1	2513.1	3545.8	5109.9
0.049	706.1	1320.5	2596.2	3586.1	--undefined--
0.026	716.7	1321.4	2572.8	3843.1	--undefined--
0.005	565.7	1380.9	2733.2	4053.7	--undefined--
0.001	807.5	1357.5	2821.8	4027.8	--undefined--
0.0002	810.6	1297.4	2846.4	3960.1	--undefined--
0.00004	616.1	1279.0	2527.8	3653.7	--undefined--
0.00002	574.4	1259.9	2697.6	3755.5	--undefined--
0.00001	554.9	1335.2	2887.6	3579.2	--undefined--
0.000004	542.3	1317.7	2686.6	3928.0	--undefined--
0.000002	550.7	1352.0	2827.7	3841.3	--undefined--
0.00000005	1469.1	2222.6	3168.4	--undefined--	--undefined--
0.00000004	1387.5	1940.8	2766.4	4311.1	--undefined--
0.00000004	1379.0	1893.4	3145.3	--undefined--	--undefined--
0.00000004	1122.8	1958.8	3108.7	--undefined--	--undefined--
0.00000004	1280.3	2009.1	3010.6	4481.2	--undefined--
0.00000004	1440.4	2207.3	3277.9	--undefined--	--undefined--
0.00000003	1143.8	1821.6	3027.6	4344.6	--undefined--
0.00000003	1277.4	2164.3	3171.1	5230.7	--undefined--
0.00000003	1085.7	2322.8	2927.1	4184.3	--undefined--
0.00000003	978.3	2126.4	2865.5	4216.1	--undefined--
0.00000003	1000.8	2076.1	3005.6	4389.7	--undefined--
0.00000003	1221.2	2101.8	3167.1	3411.9	--undefined--
0.00000002	1344.5	2403.3	3429.6	--undefined--	--undefined--
0.00000002	1287.9	2362.8	2900.9	3854.9	--undefined--
0.00000002	1467.8	2446.0	3026.7	--undefined--	--undefined--
0.00000002	1168.9	2172.2	3214.2	--undefined--	--undefined--
0.00000002	1141.0	2190.9	3061.0	3987.9	--undefined--
0.00000002	1293.8	2039.7	3259.9	3705.9	--undefined--
0.00000002	1171.0	2109.0	2987.8	4324.1	--undefined--
0.00000002	1186.5	2275.8	2977.0	3693.7	--undefined--
0.00000002	1533.6	2209.0	3176.8	--undefined--	--undefined--
0.00000002	949.3	2148.7	3093.1	4342.2	--undefined--
0.00000001	1377.5	2138.6	3297.0	3682.2	--undefined--
